"Количество отвердителя, м.%","Содержание эпоксидных групп, %","Температура вспышки, С","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки,"Плотность, кг/м3","Поверхностная плотность, г/м2","Модуль упругости, ГПа",Соотношение матрица-наполнитель,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа"
0.07103570656902267,0.6170457921969517,0.5146924549614125,0.5297135092032532,0.0,0.28933398479445543,0.557156130863542,0.6523067888215213,0.3105920890999145,0.5020546887510989,0.2987817943801218,0.30468703921300033,0.7338852763757323
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.36235458543436677,0.33583997698864465,0.6523067888215213,0.3105920890999145,0.5020546887510989,0.2987817943801218,0.30468703921300033,0.7338852763757323
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.5297135092032532,0.0,0.36235458543436677,0.5060831722770273,0.6523067888215213,0.3105920890999145,0.5103760120053272,0.4922284720655491,0.30468703921300033,0.7338852763757323
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.5297135092032532,0.0,0.36235458543436677,0.557156130863542,0.5728499020744175,0.3105920890999145,0.5074616011222439,0.4915204521182439,0.30468703921300033,0.7338852763757323
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.5297135092032532,0.0,0.36235458543436677,0.7273993261519245,0.3340729185634883,0.3105920890999145,0.5416749262146744,0.45022026375577884,0.30468703921300033,0.7338852763757323
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.19103216070445725,0.0,0.5083957867141894,0.33583997698864465,0.30750363180013984,0.4560233497549508,0.38031302227930247,0.4485168402735067,0.6232432525259064,0.24615339766719302
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.19103216070445725,0.0,0.5083957867141894,0.5060831722770273,0.3871880910135257,0.4560233497549508,0.5886243727178793,0.6529808287527125,0.6232432525259064,0.24615339766719302
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.8003519021127181,0.0,0.5083957867141894,0.557156130863542,0.8374514645642677,0.8545279413977376,0.8801290273933634,0.647993408693333,0.8035442665229304,0.33144174961292594
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.8003519021127181,0.0,0.5083957867141894,0.7273993261519245,0.9958706660680932,0.8545279413977376,0.6135517083300218,0.5229152712911184,0.8035442665229304,0.33144174961292594
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.8003519021127181,0.0,0.6544369879940121,0.33583997698864465,0.5463494376911617,0.8545279413977376,0.9888701083153686,0.5141783878881544,0.8035442665229304,0.33144174961292594
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.6544369879940121,0.5060831722770273,0.44027234629550804,0.5229801249163034,0.553188122599479,0.24229390804063278,0.519675787068941,0.5191753478078441
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.6544369879940121,0.557156130863542,0.5198414900543886,0.5229801249163034,0.40043923304997114,0.5229152712911184,0.519675787068941,0.5191753478078441
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.6544369879940121,0.7273993261519245,0.3340729185634883,0.5229801249163034,0.5376354469383524,0.747713171413151,0.519675787068941,0.5191753478078441
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.7274575886339234,0.33583997698864465,0.6523067888215213,0.3105920890999145,0.2320034236302546,0.5260304086127673,0.30468703921300033,0.7338852763757323
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.5297135092032532,0.0,0.7274575886339234,0.5060831722770273,0.2543414399509176,0.3105920890999145,0.23931318751587766,0.6529808287527125,0.30468703921300033,0.7338852763757323
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.19103216070445725,0.0,0.7274575886339234,0.557156130863542,0.44027234629550804,0.4560233497549508,0.36247545791888885,0.7804227220824939,0.6232432525259064,0.24615339766719302
0.6110794572990549,0.42912589655521116,0.5888698340456517,0.19103216070445725,0.0,0.7274575886339234,0.7273993261519245,0.2809264869027608,0.4560233497549508,0.3833739135975299,0.919085412559152,0.6232432525259064,0.24615339766719302
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.8003519021127181,1.0,0.28933398479445543,0.33583997698864465,0.5728499020744175,0.8545279413977376,0.16562136689959986,0.5141783878881544,0.8035442665229304,0.33144174961292594
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.5297135092032532,1.0,0.28933398479445543,0.5060831722770273,0.3606343906404703,0.5229801249163034,0.33136070922224936,0.24229390804063278,0.519675787068941,0.5191753478078441
0.4889035672990316,0.5059824143660268,0.5146924549614125,0.5297135092032532,1.0,0.28933398479445543,0.557156130863542,0.2543414399509176,0.5229801249163034,0.43300883180658173,0.747713171413151,0.519675787068941,0.5191753478078441
0.6733887173043381,0.5117523881819539,0.2723905715106716,0.6197696953943271,1.0,0.28933398479445543,0.7273993261519245,0.4489617750506891,0.5826144988899269,0.7267851562170111,0.453925816707495,0.9653702180196291,0.5720211977799773
0.7361823198860042,0.5670925207091777,0.8343263532603025,0.5507731398906761,1.0,0.36235458543436677,0.33583997698864465,0.42062354514466715,0.7736248472302643,0.5957353795431254,0.43562389325816575,0.6949599355642881,1.0
0.4170104077531209,0.5719327759932302,0.648046792261189,0.38820272437407577,1.0,0.36235458543436677,0.5060831722770273,0.6725095572275022,0.5770120387458951,0.48378905122522264,0.3395455755223942,0.5499951501708296,0.586626012652148
